date,visitors,is_weekend,is_holiday,is_peak_season,is_operating_season,temp_high,temp_low,precipitation,wind_speed,pre_sale_tickets,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2024-01-25,18444,0,0,1,1,-22.6,-36.2,0.46,4.0,4734,20,75,108,0,92,0,99,0,60,356,620,1094,1597,1867,2115,2230,1996,1732,1398,990,929,565,332,169
2024-01-26,25139,0,0,1,1,-15.8,-34.2,1.16,3.1,9787,165,81,0,29,41,0,92,169,288,347,826,1779,2211,2298,2976,3089,2697,2481,1916,1293,1035,852,295,179
2024-01-27,23961,1,0,1,1,-28.0,-32.1,3.11,1.5,11337,0,0,0,0,0,0,158,0,150,409,770,1617,1909,2568,2616,2845,2472,2581,1914,1471,910,813,367,391
2024-01-28,24363,1,0,1,1,-25.2,-36.3,0.05,6.1,8045,0,9,0,0,23,0,0,143,301,322,903,1673,2077,2298,2723,3080,2799,2299,1879,1385,1187,555,339,368
2024-01-29,19207,0,0,1,1,-26.7,-33.0,0.34,2.7,7576,109,101,0,51,0,0,121,0,0,198,622,1150,1658,1896,2329,2412,2064,1846,1499,1180,793,614,356,208
2024-01-30,20432,0,0,1,1,-25.1,-38.0,3.7,2.4,8656,0,128,97,0,0,0,13,43,22,187,923,1481,1739,1929,2268,2287,2385,1912,1654,1148,934,660,514,108
2024-01-31,23698,0,0,1,1,-18.7,-29.5,1.37,0.8,8383,0,0,90,0,39,0,0,0,64,440,875,1573,2015,2444,2906,2956,2511,2203,1815,1465,901,713,513,175
2024-02-01,22368,0,0,1,1,-22.6,-35.3,0.1,3.0,8671,0,0,110,104,67,0,31,0,0,471,742,1568,1828,2063,2513,2746,2470,2279,1793,1370,1099,564,430,120
2024-02-02,21020,0,0,1,1,-22.8,-31.7,0.04,1.7,9141,155,146,0,119,113,0,108,0,135,220,700,1202,1819,2011,2460,2334,2210,2077,1747,1179,970,746,451,118
2024-02-03,28813,1,0,1,1,-23.0,-32.0,2.04,2.4,12215,171,221,122,0,0,108,0,0,76,331,1051,1738,2223,2641,3526,3401,3095,2944,2160,1923,1419,670,534,459
2024-02-04,34725,1,0,1,1,-21.0,-34.2,1.22,4.4,14029,0,0,0,151,0,0,254,208,402,777,1180,2149,3025,3500,3715,4255,3583,3244,2735,2086,1570,796,883,212
2024-02-05,21084,0,0,1,1,-19.7,-32.3,1.03,2.8,6842,0,71,0,0,0,58,0,112,98,294,830,1405,1653,2059,2323,2339,2324,2097,1652,1313,1018,667,508,263
2024-02-06,22536,0,0,1,1,-18.3,-30.8,1.81,2.9,7144,83,0,109,114,2,0,0,40,273,368,779,1447,1845,2251,2343,2688,2385,2314,1669,1338,1118,509,581,280
2024-02-07,17328,0,0,1,1,-24.0,-34.2,1.61,3.2,5530,33,0,101,129,128,68,0,70,0,125,634,1106,1524,1756,1947,1985,2021,1686,1351,931,848,564,265,56
2024-02-08,38893,0,1,1,1,-18.7,-30.2,0.42,3.8,15945,0,0,288,0,234,0,0,0,276,480,1707,2405,3446,3538,4504,4645,4260,3931,3136,2310,1456,839,996,442
2024-02-09,36410,0,1,1,1,-18.2,-33.7,0.17,3.5,13949,0,0,47,0,173,0,0,0,0,485,1449,2433,2984,3767,4412,4556,3750,3642,2692,2041,1928,887,730,434
2024-02-10,43274,1,1,1,1,-17.1,-31.8,0.01,3.3,13547,0,0,0,0,46,129,204,0,0,369,1797,2910,3302,4558,4594,5148,4829,4513,3554,2762,1807,1492,565,695
2024-02-11,66718,1,1,1,1,-21.7,-29.2,0.81,3.6,29516,0,0,0,387,0,496,0,0,627,1142,2604,4293,5767,6233,8011,8323,7324,6203,5401,3463,2443,1702,1264,1035
2024-02-12,33038,0,1,1,1,-19.6,-30.3,0.75,1.6,16382,187,40,0,115,0,190,204,0,45,526,1489,1929,2779,3263,3808,3647,3626,3405,2393,1783,1679,795,820,315
2024-02-13,31392,0,1,1,1,-23.2,-31.3,0.8,0.4,13105,0,236,0,79,0,137,0,236,134,339,1045,1881,2688,3068,3800,3746,3339,3210,2625,1722,1250,711,749,397
2024-02-14,35160,0,1,1,1,-22.2,-29.1,2.25,4.3,11489,0,0,17,243,0,0,0,241,71,526,1137,2066,3229,3740,3727,4437,3906,3686,2759,2097,1560,1137,495,86
2024-02-15,32306,0,1,1,1,-24.9,-29.3,0.31,3.4,13937,0,95,167,220,91,0,58,183,190,232,1456,2112,2726,2963,3649,3684,3490,2909,2562,2111,1172,1168,574,494
2024-02-16,0,0,1,0,1,-17.3,-31.5,1.87,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-17,0,1,1,0,1,-25.2,-28.8,2.32,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-18,0,1,1,0,1,-22.1,-28.3,0.18,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,0,0,1,0,1,-25.5,-35.3,0.72,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-20,0,0,1,0,1,-21.9,-36.5,0.67,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,0,0,1,0,1,-14.1,-33.7,0.69,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,0,0,1,0,1,-20.8,-32.9,0.61,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-23,0,0,1,0,1,-13.2,-28.2,1.39,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-24,0,1,1,0,1,-19.2,-31.9,3.91,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-25,0,1,0,0,1,-20.5,-36.0,0.51,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-26,0,0,0,0,1,-18.8,-36.5,1.43,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27,0,0,0,0,1,-20.5,-33.5,0.31,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-28,0,0,0,0,1,-19.0,-24.8,0.18,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-29,0,0,0,0,1,-17.8,-30.2,2.57,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,10032,0,0,0,1,-18.8,-28.5,2.42,3.3,2965,0,17,0,54,63,0,0,44,13,250,535,923,1031,1225,1138,1010,843,785,705,453,334,222,221,166
2024-03-02,14657,1,0,0,1,-18.2,-34.3,1.32,3.1,7393,46,0,0,51,45,116,0,0,127,316,764,1239,1538,1890,1637,1446,1274,1081,864,748,492,517,234,232
2024-03-03,12168,1,0,0,1,-16.3,-28.5,2.04,1.8,6066,30,10,43,0,0,11,86,0,95,180,658,989,1294,1482,1333,1216,1122,969,719,573,408,448,317,185
2024-03-04,9753,0,0,0,1,-15.0,-29.1,2.65,3.5,2687,49,42,31,0,0,0,0,0,112,196,488,831,1027,1151,1084,1004,846,779,664,426,441,224,235,123
2024-03-05,9396,0,0,0,1,-16.6,-27.4,0.99,3.1,2675,28,0,70,20,47,0,53,62,44,201,549,786,1020,1109,1014,907,770,625,548,532,378,347,175,111
2024-03-06,9431,0,0,0,1,-17.3,-37.5,0.31,1.8,3526,22,0,0,41,0,0,73,0,75,258,474,786,970,1100,1013,961,774,701,680,513,390,251,205,144
2024-03-07,8839,0,0,0,1,-18.6,-31.8,6.07,1.6,2859,0,46,32,37,0,0,0,0,10,212,432,797,927,997,975,947,834,724,570,385,358,257,224,75
2024-03-08,10232,0,0,0,1,-17.9,-32.0,1.11,3.1,3327,0,0,45,62,72,45,0,29,39,159,599,819,1154,1194,1162,1017,955,765,662,427,399,242,236,150
2024-03-09,13699,1,0,0,1,-17.3,-28.9,0.25,2.9,3989,100,52,0,0,0,60,35,0,0,186,789,1291,1456,1546,1484,1473,1188,1087,918,659,483,328,299,265
2024-03-10,15443,1,0,0,1,-10.9,-26.6,0.12,5.1,7789,37,0,0,102,0,0,0,0,101,403,757,1250,1567,1889,1748,1439,1416,1203,1051,844,536,507,288,305
2024-03-11,8963,0,0,0,1,-14.9,-25.0,3.1,3.5,4005,61,0,0,0,31,44,0,0,91,207,486,798,962,1028,1013,899,838,674,604,389,344,193,139,162
2024-03-12,10315,0,0,0,1,-18.2,-23.6,0.67,5.3,3849,0,0,45,8,0,42,0,39,2,275,532,878,1050,1176,1227,1086,884,746,690,565,417,284,187,182
2024-03-13,12046,0,0,0,1,-18.4,-23.7,0.29,2.7,4558,0,15,11,11,20,34,59,0,123,241,584,1004,1300,1521,1433,1267,1093,897,719,572,471,283,188,200
2024-03-14,10465,0,0,0,1,-14.7,-26.4,1.64,4.8,2863,0,56,0,12,14,0,0,0,0,129,630,903,1153,1221,1285,1005,929,846,737,470,468,306,206,95
2024-03-15,9635,0,0,0,1,-17.3,-26.1,2.07,5.4,3883,0,17,0,39,24,71,0,0,14,157,495,938,1031,1131,1168,964,918,661,630,413,321,355,138,150
2024-03-16,12651,1,0,0,1,-19.0,-31.7,7.02,3.5,6144,0,0,46,96,0,30,0,13,55,345,712,1099,1303,1447,1388,1205,1200,953,820,550,574,421,164,230
2024-03-17,13438,1,0,0,1,-15.5,-28.7,1.89,1.9,7494,35,0,0,32,9,0,2,65,57,170,791,1132,1410,1532,1491,1383,1199,933,943,744,610,343,255,302
2024-03-18,12554,0,0,0,1,-17.7,-26.1,7.46,3.2,3403,30,61,0,52,88,0,4,0,115,254,684,1134,1297,1527,1383,1132,1115,954,743,667,556,316,332,110
2024-03-19,10338,0,0,0,1,-16.8,-27.3,7.05,2.3,3494,18,0,61,48,0,74,0,77,76,221,496,961,1088,1158,1072,1010,904,785,712,432,437,250,257,201
2024-03-20,9906,0,0,0,1,-13.9,-20.0,1.2,5.0,3386,0,0,51,0,0,32,50,0,8,138,511,867,1108,1200,1137,949,928,724,706,507,330,319,167,174
2024-03-21,8924,0,0,0,1,-13.2,-26.4,5.81,4.5,3469,1,0,0,0,0,21,60,51,80,213,499,746,1008,1072,1004,811,771,643,613,439,329,325,119,119
2024-03-22,9793,0,0,0,1,-13.2,-25.6,6.33,4.1,3924,47,0,71,35,0,51,0,57,0,225,539,809,1025,1087,1118,938,887,695,598,522,317,353,248,171
2024-03-23,13318,1,0,0,1,-13.6,-21.9,0.67,3.3,6027,16,100,72,4,0,67,20,0,0,337,732,1209,1473,1544,1463,1255,1105,938,880,655,587,369,275,217
2024-03-24,13532,1,0,0,1,-11.8,-19.4,0.89,2.3,5296,33,100,22,54,1,29,0,0,38,272,664,1173,1482,1788,1564,1389,1186,1069,856,631,560,307,168,146
2024-03-25,10092,0,0,0,1,-15.5,-20.8,2.83,1.2,4403,0,0,18,0,0,1,58,0,81,274,483,850,1065,1176,1117,1048,919,754,609,542,465,345,118,169
2024-03-26,9288,0,0,0,1,-15.3,-23.4,3.9,3.2,3169,0,0,0,37,0,0,0,65,70,210,486,842,940,1133,1119,937,883,723,542,519,304,281,131,66
2024-03-27,10074,0,0,0,1,-15.1,-28.6,2.26,2.8,2766,9,0,35,23,53,29,0,26,13,163,578,864,1112,1226,1170,1034,861,699,642,464,403,322,223,125
2024-03-28,10623,0,0,0,1,-16.6,-24.0,0.53,3.1,2983,0,25,23,0,0,0,0,30,72,192,545,1057,1181,1340,1181,1078,891,811,783,520,352,243,196,103
2024-03-29,9733,0,0,0,1,-13.7,-28.4,7.98,4.4,3606,50,74,0,71,0,0,0,6,0,201,537,909,1113,1157,1079,928,821,655,603,447,458,298,169,157
2024-03-30,13192,1,0,0,1,-15.7,-23.2,3.44,0.5,7554,25,14,24,0,0,0,0,8,8,349,785,1193,1410,1615,1392,1335,1071,1017,783,715,601,311,247,289
2024-03-31,12590,1,0,0,1,-12.3,-19.0,3.14,1.8,4582,0,2,0,14,70,93,0,63,111,256,755,1033,1258,1535,1383,1280,1167,824,862,596,487,388,325,88
2024-04-01,0,0,0,0,0,-12.6,-16.3,4.57,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-02,0,0,0,0,0,-14.5,-20.6,5.87,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-03,0,0,0,0,0,-13.4,-24.2,11.47,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-04,0,0,1,0,0,-8.9,-19.7,4.94,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-05,0,0,1,0,0,-12.6,-19.7,5.42,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-06,0,1,1,0,0,-9.5,-18.6,0.35,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-07,0,1,0,0,0,-10.3,-22.9,1.97,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,0,0,0,0,0,-12.4,-20.5,6.28,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-09,0,0,0,0,0,-7.9,-19.7,1.37,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-10,0,0,0,0,0,-7.5,-22.0,0.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-11,0,0,0,0,0,-11.3,-19.7,1.37,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-12,0,0,0,0,0,-6.4,-21.8,1.53,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-13,0,1,0,0,0,-9.0,-23.3,4.07,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,0,1,0,0,0,-4.3,-17.5,0.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15,0,0,0,0,0,-5.1,-18.0,2.41,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-16,0,0,0,0,0,-7.2,-14.1,1.13,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-17,0,0,0,0,0,-5.8,-15.0,6.7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-18,0,0,0,0,0,-6.1,-8.9,1.31,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-19,0,0,0,0,0,-7.1,-22.4,0.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-20,0,1,0,0,0,-9.2,-16.2,0.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-21,0,1,0,0,0,-6.4,-18.2,1.37,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,0,0,0,0,0,-3.7,-15.6,1.63,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-23,0,0,0,0,0,-8.2,-16.6,1.36,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-24,0,0,0,0,0,-4.8,-12.8,2.48,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-25,0,0,0,0,0,-3.1,-15.8,14.59,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-26,0,0,0,0,0,-12.4,-16.6,4.43,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-27,0,1,0,0,0,-7.2,-13.0,4.89,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-28,0,1,0,0,0,-6.4,-13.7,6.83,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-29,0,0,0,0,0,-3.8,-15.3,2.02,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-30,0,0,0,0,0,-8.3,-11.9,1.07,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01,0,0,1,0,0,-8.0,-17.7,0.25,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-02,0,0,1,0,0,-2.5,-8.8,1.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-03,0,0,1,0,0,3.1,-14.0,9.87,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-04,0,1,1,0,0,-7.6,-15.8,0.69,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-05,0,1,1,0,0,-0.2,-8.5,1.79,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-06,0,0,0,0,0,-5.1,-7.1,10.49,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-07,0,0,0,0,0,-6.4,-14.4,0.29,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-08,0,0,0,0,0,0.3,-14.5,0.07,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-09,0,0,0,0,0,-5.0,-15.8,0.09,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-10,0,0,0,0,0,-9.1,-14.0,3.69,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11,0,1,0,0,0,-1.1,-10.9,3.06,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-12,0,1,0,0,0,-4.4,-8.8,7.34,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-13,0,0,0,0,0,4.0,-9.8,18.52,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-14,0,0,0,0,0,-1.5,-8.2,0.09,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-15,0,0,0,0,0,-2.4,-6.7,3.67,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-16,0,0,0,0,0,0.6,-13.8,9.49,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-17,0,0,0,0,0,2.3,-7.2,3.11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-18,0,1,0,0,0,0.2,-11.4,7.03,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-19,0,1,0,0,0,0.7,-10.8,16.27,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-20,0,0,0,0,0,-2.8,-7.7,1.13,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-21,0,0,0,0,0,-1.7,-7.2,7.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-22,0,0,0,0,0,3.0,-7.2,2.57,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,0,0,0,0,0,4.2,-11.2,2.22,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-24,0,0,0,0,0,4.9,-6.1,6.49,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-25,0,1,0,0,0,1.6,-10.5,16.81,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-26,0,1,0,0,0,8.4,-6.5,0.42,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-27,0,0,0,0,0,0.7,-4.3,3.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-28,0,0,0,0,0,-1.5,-2.0,0.28,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29,0,0,0,0,0,4.1,-5.0,1.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-30,0,0,0,0,0,9.2,-4.8,0.41,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
