date,ticket_revenue,hotel_occupancy_rate,hotel_revenue,dining_revenue,retail_revenue,total_revenue
2024-08-19,0,0.0,0,0,0,0
2024-08-20,0,0.0,0,0,0,0
2024-08-21,0,0.0,0,0,0,0
2024-08-22,0,0.0,0,0,0,0
2024-08-23,0,0.0,0,0,0,0
2024-08-24,0,0.0,0,0,0,0
2024-08-25,0,0.0,0,0,0,0
2024-08-26,0,0.0,0,0,0,0
2024-08-27,0,0.0,0,0,0,0
2024-08-28,0,0.0,0,0,0,0
2024-08-29,0,0.0,0,0,0,0
2024-08-30,0,0.0,0,0,0,0
2024-08-31,0,0.0,0,0,0,0
2024-09-01,0,0.0,0,0,0,0
2024-09-02,0,0.0,0,0,0,0
2024-09-03,0,0.0,0,0,0,0
2024-09-04,0,0.0,0,0,0,0
2024-09-05,0,0.0,0,0,0,0
2024-09-06,0,0.0,0,0,0,0
2024-09-07,0,0.0,0,0,0,0
2024-09-08,0,0.0,0,0,0,0
2024-09-09,0,0.0,0,0,0,0
2024-09-10,0,0.0,0,0,0,0
2024-09-11,0,0.0,0,0,0,0
2024-09-12,0,0.0,0,0,0,0
2024-09-13,0,0.0,0,0,0,0
2024-09-14,0,0.0,0,0,0,0
2024-09-15,0,0.0,0,0,0,0
2024-09-16,0,0.0,0,0,0,0
2024-09-17,0,0.0,0,0,0,0
2024-09-18,0,0.0,0,0,0,0
2024-09-19,0,0.0,0,0,0,0
2024-09-20,0,0.0,0,0,0,0
2024-09-21,0,0.0,0,0,0,0
2024-09-22,0,0.0,0,0,0,0
2024-09-23,0,0.0,0,0,0,0
2024-09-24,0,0.0,0,0,0,0
2024-09-25,0,0.0,0,0,0,0
2024-09-26,0,0.0,0,0,0,0
2024-09-27,0,0.0,0,0,0,0
2024-09-28,0,0.0,0,0,0,0
2024-09-29,0,0.0,0,0,0,0
2024-09-30,0,0.0,0,0,0,0
2024-10-01,0,0.0,0,0,0,0
2024-10-02,0,0.0,0,0,0,0
2024-10-03,0,0.0,0,0,0,0
2024-10-04,0,0.0,0,0,0,0
2024-10-05,0,0.0,0,0,0,0
2024-10-06,0,0.0,0,0,0,0
2024-10-07,0,0.0,0,0,0,0
2024-10-08,0,0.0,0,0,0,0
2024-10-09,0,0.0,0,0,0,0
2024-10-10,0,0.0,0,0,0,0
2024-10-11,0,0.0,0,0,0,0
2024-10-12,0,0.0,0,0,0,0
2024-10-13,0,0.0,0,0,0,0
2024-10-14,0,0.0,0,0,0,0
2024-10-15,0,0.0,0,0,0,0
2024-10-16,0,0.0,0,0,0,0
2024-10-17,0,0.0,0,0,0,0
2024-10-18,0,0.0,0,0,0,0
2024-10-19,0,0.0,0,0,0,0
2024-10-20,0,0.0,0,0,0,0
2024-10-21,0,0.0,0,0,0,0
2024-10-22,0,0.0,0,0,0,0
2024-10-23,0,0.0,0,0,0,0
2024-10-24,0,0.0,0,0,0,0
2024-10-25,0,0.0,0,0,0,0
2024-10-26,0,0.0,0,0,0,0
2024-10-27,0,0.0,0,0,0,0
2024-10-28,0,0.0,0,0,0,0
2024-10-29,0,0.0,0,0,0,0
2024-10-30,0,0.0,0,0,0,0
2024-10-31,0,0.0,0,0,0,0
2024-11-01,1397714,0.541,363187,544605,459342,2764848
2024-11-02,1871531,0.5295,423719,544161,593694,3433105
2024-11-03,1843482,0.5315,305545,881638,483674,3514339
2024-11-04,1266207,0.4993,405627,623012,380605,2675451
2024-11-05,1758041,0.5265,352579,780799,279030,3170449
2024-11-06,1426979,0.5089,355966,500474,384817,2668236
2024-11-07,1161065,0.5131,322163,357607,202848,2043683
2024-11-08,1593526,0.5128,377144,598434,435385,3004489
2024-11-09,2070824,0.5403,359444,815067,535048,3780383
2024-11-10,2146752,0.5603,340526,479819,547022,3514119
2024-11-11,1393151,0.4909,397049,418102,544095,2752397
2024-11-12,1690460,0.5381,331689,436585,409122,2867856
2024-11-13,1356819,0.5101,331569,401749,286634,2376771
2024-11-14,1594598,0.4966,282052,555375,535571,2967596
2024-11-15,1286244,0.4908,353232,633654,447720,2720850
2024-11-16,1964797,0.5259,374296,452306,563858,3355257
2024-11-17,1922847,0.56,354430,391958,474612,3143847
2024-11-18,1684369,0.5398,331570,448272,405874,2870085
2024-11-19,1502353,0.546,378188,693977,443636,3018154
2024-11-20,1554345,0.5052,400520,409143,377509,2741517
2024-11-21,1220030,0.5119,332268,394413,506663,2453374
2024-11-22,1076850,0.5245,438254,273847,377127,2166078
2024-11-23,2046992,0.5271,354637,1059003,311612,3772244
2024-11-24,1974982,0.5386,433329,456675,575168,3440154
2024-11-25,1529878,0.5265,433758,628297,208172,2800105
2024-11-26,1339199,0.5066,327689,457926,309511,2434325
2024-11-27,1214434,0.5365,313754,580133,314015,2422336
2024-11-28,1385457,0.5311,351019,440121,310686,2487283
2024-11-29,1214585,0.5346,423456,313241,205833,2157115
2024-11-30,1598863,0.5021,368213,419234,430982,2817292
2024-12-01,0,0.0,0,0,0,0
2024-12-02,0,0.0,0,0,0,0
2024-12-03,0,0.0,0,0,0,0
2024-12-04,0,0.0,0,0,0,0
2024-12-05,0,0.0,0,0,0,0
2024-12-06,0,0.0,0,0,0,0
2024-12-07,0,0.0,0,0,0,0
2024-12-08,0,0.0,0,0,0,0
2024-12-09,0,0.0,0,0,0,0
2024-12-10,0,0.0,0,0,0,0
2024-12-11,0,0.0,0,0,0,0
2024-12-12,0,0.0,0,0,0,0
2024-12-13,0,0.0,0,0,0,0
2024-12-14,0,0.0,0,0,0,0
2024-12-15,0,0.0,0,0,0,0
2024-12-16,0,0.0,0,0,0,0
2024-12-17,0,0.0,0,0,0,0
2024-12-18,0,0.0,0,0,0,0
2024-12-19,0,0.0,0,0,0,0
2024-12-20,0,0.0,0,0,0,0
2024-12-21,0,0.0,0,0,0,0
2024-12-22,0,0.0,0,0,0,0
2024-12-23,0,0.0,0,0,0,0
2024-12-24,1790453,0.8376,916012,1020495,764190,4491150
2024-12-25,3317260,0.7989,1010204,1599022,685899,6612385
2024-12-26,3111513,0.83,1048467,910266,1071382,6141628
2024-12-27,2784245,0.9326,1195009,827850,985030,5792134
2024-12-28,3570243,0.8394,992370,1121306,1065362,6749281
2024-12-29,3732930,0.9137,895326,1303262,1061633,6993151
2024-12-30,3152481,0.8808,1043594,1376015,641586,6213676
2024-12-31,3433872,0.8171,817118,1215104,829402,6295496
2025-01-01,5501850,0.7967,762302,2222892,1948240,10435284
2025-01-02,5479982,0.8835,979268,2153554,1707324,10320128
2025-01-03,6786653,0.8085,868492,1872862,2312506,11840513
2025-01-04,6074257,0.7961,996759,3014847,2482342,12568205
2025-01-05,8463670,0.7632,936764,2787567,2430556,14618557
2025-01-06,4897446,0.86,947110,1822277,1940341,9607174
2025-01-07,4601382,0.8029,984039,2099287,1643445,9328153
2025-01-08,4573464,0.8375,1053053,1382708,873614,7882839
2025-01-09,6212276,0.9499,1191697,2231363,1802380,11437716
2025-01-10,7302315,0.7939,874983,3069567,2086175,13333040
2025-01-11,8026074,0.7876,758884,2554170,3219635,14558763
2025-01-12,7155616,0.8239,942600,2399449,2790167,13287832
2025-01-13,6219283,0.8,1020156,2720939,1951809,11912187
2025-01-14,6432100,0.8488,827549,2695629,2228414,12183692
2025-01-15,4897565,0.931,958412,2401139,991060,9248176
2025-01-16,8454502,0.7725,893558,2999173,3012884,15360117
2025-01-17,5918536,0.8217,889390,2158824,2043779,11010529
2025-01-18,7035662,0.9519,958242,2923422,1743318,12660644
2025-01-19,8299684,0.8853,1054888,3960208,2928092,16242872
2025-01-20,6097872,0.9141,914753,1998438,970075,9981138
2025-01-21,5823522,0.8624,1112161,2822685,1203648,10962016
2025-01-22,6987199,0.8379,1021733,2852423,2201288,13062643
2025-01-23,7066571,0.893,1058710,2441951,1561033,12128265
2025-01-24,5327733,0.849,849513,2600709,2100025,10877980
2025-01-25,7037018,0.7998,723006,3697021,2385156,13842201
2025-01-26,10483248,0.7849,780338,3326128,3445259,18034973
2025-01-27,11576713,0.8706,887330,3513800,2241880,18219723
2025-01-28,12160835,0.8921,1087041,5119007,3794851,22161734
2025-01-29,10449179,0.8848,839352,4199563,2573909,18062003
2025-01-30,10381966,0.8861,1017341,4213593,3631715,19244615
2025-01-31,11773571,0.8769,1095619,4195464,3001973,20066627
2025-02-01,17468063,0.8491,1067186,4577666,5705045,28817960
2025-02-02,14290282,0.9148,1041721,5017955,3338233,23688191
2025-02-03,10102670,0.87,819384,4661112,3856245,19439411
2025-02-04,10820153,0.9275,1188339,4848746,2440414,19297652
2025-02-05,9539592,0.8425,952267,4251288,3606122,18349269
2025-02-06,9226486,0.8104,829773,4617757,1817581,16491597
2025-02-07,12266717,0.7702,707530,4851439,4107472,21933158
2025-02-08,15831498,0.9426,1085877,7587918,3858637,28363930
2025-02-09,11374571,0.9571,1235226,5716416,2353047,20679260
2025-02-10,11940865,0.8732,950838,4464508,3273496,20629707
2025-02-11,10922567,0.8072,985647,3470477,4035194,19413885
2025-02-12,8975740,0.8289,1031061,3811565,2609969,16428335
2025-02-13,6369080,0.7848,767126,1990391,2026257,11152854
2025-02-14,6188234,0.8251,956702,2694468,1956730,11796134
2025-02-15,8147046,0.8817,842927,2650710,1962232,13602915
2025-02-16,0,0.0,0,0,0,0
2025-02-17,0,0.0,0,0,0,0
2025-02-18,0,0.0,0,0,0,0
2025-02-19,0,0.0,0,0,0,0
2025-02-20,0,0.0,0,0,0,0
2025-02-21,0,0.0,0,0,0,0
2025-02-22,0,0.0,0,0,0,0
2025-02-23,0,0.0,0,0,0,0
2025-02-24,0,0.0,0,0,0,0
2025-02-25,0,0.0,0,0,0,0
2025-02-26,0,0.0,0,0,0,0
2025-02-27,0,0.0,0,0,0,0
2025-02-28,0,0.0,0,0,0,0
2025-03-01,2260701,0.58,466785,568565,398812,3694863
2025-03-02,2164305,0.5434,397842,1052741,844568,4459456
2025-03-03,1969658,0.5565,393477,507289,489123,3359547
2025-03-04,1697813,0.5416,336640,525155,372017,2931625
2025-03-05,2134907,0.5309,409550,762301,363250,3670008
2025-03-06,1574215,0.5447,377507,722827,287045,2961594
2025-03-07,1250064,0.5425,432562,721965,447638,2852229
2025-03-08,2555776,0.5712,454926,811627,500399,4322728
2025-03-09,2512001,0.5459,388063,726546,587910,4214520
2025-03-10,1644588,0.4999,403406,559355,463007,3070356
2025-03-11,1488646,0.5001,314403,701061,274572,2778682
2025-03-12,2173391,0.5201,321050,499293,260751,3254485
2025-03-13,2313455,0.5697,417000,560259,429039,3719753
2025-03-14,1859546,0.5642,355027,776850,454199,3445622
2025-03-15,1904628,0.5429,314848,891108,400754,3511338
2025-03-16,2564347,0.5336,441515,634139,826647,4466648
2025-03-17,2056711,0.5634,390892,760032,414819,3622454
2025-03-18,1661476,0.534,323822,908753,299147,3193198
2025-03-19,1717378,0.5346,379920,656521,271448,3025267
2025-03-20,1983127,0.5272,434017,820165,722081,3959390
2025-03-21,1730048,0.5343,328444,459721,406979,2925192
2025-03-22,2453522,0.5403,379572,1048303,698353,4579750
2025-03-23,2459204,0.561,385746,676356,741123,4262429
2025-03-24,1709279,0.5546,428059,686919,403129,3227386
2025-03-25,1825975,0.5616,390982,568070,374550,3159577
2025-03-26,1788184,0.5615,350441,734097,501551,3374273
2025-03-27,1985577,0.5619,451188,651748,267679,3356192
2025-03-28,1855703,0.5448,390171,748744,329488,3324106
2025-03-29,2576812,0.5441,419036,751626,751507,4498981
2025-03-30,2112864,0.5626,426118,707411,837535,4083928
2025-03-31,2243067,0.5543,365280,740808,599377,3948532
2025-04-01,0,0.0,0,0,0,0
2025-04-02,0,0.0,0,0,0,0
2025-04-03,0,0.0,0,0,0,0
2025-04-04,0,0.0,0,0,0,0
2025-04-05,0,0.0,0,0,0,0
2025-04-06,0,0.0,0,0,0,0
2025-04-07,0,0.0,0,0,0,0
2025-04-08,0,0.0,0,0,0,0
2025-04-09,0,0.0,0,0,0,0
2025-04-10,0,0.0,0,0,0,0
2025-04-11,0,0.0,0,0,0,0
2025-04-12,0,0.0,0,0,0,0
2025-04-13,0,0.0,0,0,0,0
2025-04-14,0,0.0,0,0,0,0
2025-04-15,0,0.0,0,0,0,0
2025-04-16,0,0.0,0,0,0,0
2025-04-17,0,0.0,0,0,0,0
2025-04-18,0,0.0,0,0,0,0
2025-04-19,0,0.0,0,0,0,0
2025-04-20,0,0.0,0,0,0,0
2025-04-21,0,0.0,0,0,0,0
2025-04-22,0,0.0,0,0,0,0
2025-04-23,0,0.0,0,0,0,0
2025-04-24,0,0.0,0,0,0,0
2025-04-25,0,0.0,0,0,0,0
2025-04-26,0,0.0,0,0,0,0
2025-04-27,0,0.0,0,0,0,0
2025-04-28,0,0.0,0,0,0,0
2025-04-29,0,0.0,0,0,0,0
2025-04-30,0,0.0,0,0,0,0
2025-05-01,0,0.0,0,0,0,0
2025-05-02,0,0.0,0,0,0,0
2025-05-03,0,0.0,0,0,0,0
2025-05-04,0,0.0,0,0,0,0
2025-05-05,0,0.0,0,0,0,0
2025-05-06,0,0.0,0,0,0,0
2025-05-07,0,0.0,0,0,0,0
2025-05-08,0,0.0,0,0,0,0
2025-05-09,0,0.0,0,0,0,0
2025-05-10,0,0.0,0,0,0,0
2025-05-11,0,0.0,0,0,0,0
2025-05-12,0,0.0,0,0,0,0
2025-05-13,0,0.0,0,0,0,0
2025-05-14,0,0.0,0,0,0,0
2025-05-15,0,0.0,0,0,0,0
2025-05-16,0,0.0,0,0,0,0
2025-05-17,0,0.0,0,0,0,0
2025-05-18,0,0.0,0,0,0,0
2025-05-19,0,0.0,0,0,0,0
2025-05-20,0,0.0,0,0,0,0
2025-05-21,0,0.0,0,0,0,0
2025-05-22,0,0.0,0,0,0,0
2025-05-23,0,0.0,0,0,0,0
2025-05-24,0,0.0,0,0,0,0
2025-05-25,0,0.0,0,0,0,0
2025-05-26,0,0.0,0,0,0,0
2025-05-27,0,0.0,0,0,0,0
2025-05-28,0,0.0,0,0,0,0
2025-05-29,0,0.0,0,0,0,0
2025-05-30,0,0.0,0,0,0,0
2025-05-31,0,0.0,0,0,0,0
2025-06-01,0,0.0,0,0,0,0
2025-06-02,0,0.0,0,0,0,0
2025-06-03,0,0.0,0,0,0,0
2025-06-04,0,0.0,0,0,0,0
2025-06-05,0,0.0,0,0,0,0
2025-06-06,0,0.0,0,0,0,0
2025-06-07,0,0.0,0,0,0,0
2025-06-08,0,0.0,0,0,0,0
2025-06-09,0,0.0,0,0,0,0
2025-06-10,0,0.0,0,0,0,0
2025-06-11,0,0.0,0,0,0,0
2025-06-12,0,0.0,0,0,0,0
2025-06-13,0,0.0,0,0,0,0
2025-06-14,0,0.0,0,0,0,0
2025-06-15,0,0.0,0,0,0,0
2025-06-16,0,0.0,0,0,0,0
2025-06-17,0,0.0,0,0,0,0
2025-06-18,0,0.0,0,0,0,0
2025-06-19,0,0.0,0,0,0,0
2025-06-20,0,0.0,0,0,0,0
2025-06-21,0,0.0,0,0,0,0
2025-06-22,0,0.0,0,0,0,0
2025-06-23,0,0.0,0,0,0,0
2025-06-24,0,0.0,0,0,0,0
2025-06-25,0,0.0,0,0,0,0
2025-06-26,0,0.0,0,0,0,0
2025-06-27,0,0.0,0,0,0,0
2025-06-28,0,0.0,0,0,0,0
2025-06-29,0,0.0,0,0,0,0
2025-06-30,0,0.0,0,0,0,0
2025-07-01,0,0.0,0,0,0,0
2025-07-02,0,0.0,0,0,0,0
2025-07-03,0,0.0,0,0,0,0
2025-07-04,0,0.0,0,0,0,0
2025-07-05,0,0.0,0,0,0,0
2025-07-06,0,0.0,0,0,0,0
2025-07-07,0,0.0,0,0,0,0
2025-07-08,0,0.0,0,0,0,0
2025-07-09,0,0.0,0,0,0,0
2025-07-10,0,0.0,0,0,0,0
2025-07-11,0,0.0,0,0,0,0
2025-07-12,0,0.0,0,0,0,0
2025-07-13,0,0.0,0,0,0,0
2025-07-14,0,0.0,0,0,0,0
2025-07-15,0,0.0,0,0,0,0
2025-07-16,0,0.0,0,0,0,0
2025-07-17,0,0.0,0,0,0,0
2025-07-18,0,0.0,0,0,0,0
2025-07-19,0,0.0,0,0,0,0
2025-07-20,0,0.0,0,0,0,0
2025-07-21,0,0.0,0,0,0,0
2025-07-22,0,0.0,0,0,0,0
2025-07-23,0,0.0,0,0,0,0
2025-07-24,0,0.0,0,0,0,0
2025-07-25,0,0.0,0,0,0,0
2025-07-26,0,0.0,0,0,0,0
2025-07-27,0,0.0,0,0,0,0
2025-07-28,0,0.0,0,0,0,0
2025-07-29,0,0.0,0,0,0,0
2025-07-30,0,0.0,0,0,0,0
2025-07-31,0,0.0,0,0,0,0
